coin,totalCurrentValue
stellar,376.2669509783762
drift-protocol,356.89923101337394
iiii-lovvv-youuuu,315.1580277956094
base-god,314.5303770610137
cardano,312.58469611304713
mantra-dao,302.3590072285828
ripple,292.78984253781755
pepe,257.0298848321543
dogecoin,255.25896598776043
zeus-network,245.83011978524365
instadapp,219.35016316907186
wojak,215.4819029189811
stader,204.66942980848262
billy,199.97061458810305
jito-governance-token,196.32747548595705
sui,191.71913513048307
aura-on-sol,189.569574794559
raydium,185.6757986744443
ethena,181.75715313979558
zignaly,179.60675171762298
render-token,178.70481687756134
akash-network,177.1968731840152
kamino,176.8881817436554
theta-token,174.7798723914469
dither,174.73118678319614
dubbz,171.70892033066355
non-playable-coin,170.41985311199406
arbitrum,169.73589594496525
near,169.56562492896555
io,167.66559853548688
lock-in,165.01055655826787
dogwifcoin,164.9144085968936
optimism,162.13157521820298
solana,161.92271012159546
injective-protocol,161.60866746242587
chainlink,160.2786475303922
picasso,159.09065170988185
dream-machine-token,159.06395905645184
kujira,158.4795908482103
flow,156.27206505136627
kusama,155.44283142977
virtual-protocol,154.61413822595514
aptos,154.21536037693917
caprisun-monkey,153.88696563351456
liquity,153.12858406746193
peapods-finance,153.09021717108783
mina-protocol,152.86298525733838
sei-network,150.7599992239467
mumu-the-bull-3,150.53895036699188
filecoin,149.75276452135367
mog-coin,148.93369306461977
kaspa,147.25707221058306
cartesi,146.49791170416614
bitcoin,145.78478378487688
uniswap,145.58879203874127
endurance,145.57193960709475
pixels,144.54958181370986
banana-gun,143.17822185066007
blur,142.69546330739038
cow-protocol,142.6043582153887
paraswap,142.02915932855598
dymension,141.05776954905656
theta-fuel,140.84761607203615
velodrome-finance,140.03990114086884
empyreal,139.9293379853555
ethereum,138.5420241167035
fantom,138.30344436175318
blockstack,138.1616581147053
astar,137.65770314907533
automata,137.38963004750758
alchemy-pay,137.30268853643383
apu-s-club,136.99845923165466
celestia,136.1836526134863
clearpool,135.79873536097185
celo,134.7084587941723
aave,134.21751624377112
alephium,133.98277144835316
vertex-protocol,133.5754463216796
crown-by-third-time-games,132.5532958366332
jupiter-exchange-solana,130.16537746140665
pocket-network,129.45904374370573
wazirx,128.98771653968964
tron,128.16616420520256
self-chain,127.98647315646959
cat-in-a-dogs-world,127.76426820701258
thorchain,127.58657843040955
pyth-network,127.48960298372327
echelon-prime,127.07161939448955
conflux-token,126.92765169835349
aerodrome-finance,125.9881374907971
fwog,124.90351735153848
graphlinq-protocol,124.45256911143407
harrypotterobamasonic10in,123.6045577577494
maple,123.05712360591482
layerzero,122.86414187020635
bittensor,122.70475246075064
popcat,122.57475099430226
the-open-network,119.89654939889016
eden,117.96598962330161
rollbit-coin,116.65478151243084
ait-protocol,114.28348805930511
chex-token,114.26692991123316
mother-iggy,113.80147300120974
saga-2,113.70060226413996
zero1-labs,112.2537813286798
woman-yelling-at-cat,111.08428035207787
carbify,110.25089952096862
minimini,106.38175097524986
thena,105.76048579320545
vectorchat-ai,105.66201152807753
spectral,104.74777899147789
only1,104.3293175253258
kerosene,100.92507545721035
nosana,99.17705213385459
helium,99.13700710389364
metaplex,97.24728159089814
monkeyhaircut,96.24403721954879
michicoin,92.38485668342423
smoking-chicken-fish,91.1104046304821
synesis-one,88.58640645599549
autonolas,86.34609069802298
meta-2,86.0854668440613
retardio,81.89764333698788
spx6900,77.2020689607734
natix-network,71.38700772639469
elastic-finance-token,70.52622423678243
illuminex,65.13891116153138
gigachad-2,62.036939984466564
wrapped-quil,61.35796211737729
selfiedogcoin,53.61897834896288
ora-protocol,42.59258369153977
