coin,totalCurrentValue
thena,1604.006262325534
stellar,527.7787999067265
instadapp,406.40502417738855
drift-protocol,335.7419426868258
cardano,309.6799289565482
base-god,307.3839221086928
ripple,292.5554201375147
mantra-dao,274.11244048178065
virtual-protocol,266.1005234307159
billy,256.9704417812759
kusama,248.52206756116382
dogecoin,247.03987824101367
pepe,245.90129359298408
zeus-network,243.99203908055716
wojak,218.78931463091277
ethena,217.15114122216633
liquity,207.2543075783374
stader,207.18322705115708
arbitrum,203.49413783358173
theta-token,203.21184104658866
rollbit-coin,200.82177648010756
sei-network,199.28907844040094
uniswap,198.1162951397465
jito-governance-token,197.95728170805262
io,194.12027572205648
celestia,191.77498821069827
fantom,190.60926350380564
echelon-prime,189.22489730760543
akash-network,188.44302885788284
flow,187.91531348570268
render-token,187.1291386337598
near,185.79701211115977
optimism,184.2286001800317
dymension,183.98661313439825
sui,183.82702548381835
peapods-finance,182.46635905416093
injective-protocol,182.19886785181046
chainlink,181.7539239388844
blur,177.15287287615988
velodrome-finance,176.40209650954876
filecoin,176.12100992320578
non-playable-coin,174.40387386572363
mina-protocol,174.2121304176563
pixels,173.44810744176863
cartesi,171.65586101262946
alchemy-pay,171.6173987646858
zignaly,170.51232435486642
raydium,170.312013968939
endurance,169.8160963007377
self-chain,168.255140292478
cow-protocol,168.04574186426066
theta-fuel,166.376168708268
kamino,165.23032030951447
astar,163.43348035726555
aave,162.56426879175018
layerzero,162.29830594898124
dubbz,162.09108171613948
automata,161.19553475252346
dogwifcoin,159.97375030540738
celo,158.21936973934964
aptos,157.6112833280471
iiii-lovvv-youuuu,154.8236305937098
banana-gun,154.22589803821495
blockstack,153.9037343680504
solana,153.16643859910712
ethereum,152.67234722794694
wazirx,151.86672140241924
harrypotterobamasonic10in,151.52695450868646
graphlinq-protocol,150.80400147479858
paraswap,149.1726428016056
kujira,148.14940171297474
chex-token,147.67978165329683
mog-coin,147.42264479250645
conflux-token,147.37164295836357
kaspa,146.941626403164
pyth-network,146.62935789488654
crown-by-third-time-games,144.73475585861678
bitcoin,141.4269365300518
the-open-network,139.9756042838425
vertex-protocol,139.91028526474452
apu-s-club,139.5599615419694
zero1-labs,139.2744923162842
vectorchat-ai,138.84530401428577
picasso,138.77055251369177
fwog,137.61781944086454
eden,137.5212828146057
aura-on-sol,137.31784639077244
aerodrome-finance,137.01885273854774
clearpool,135.24687612467477
bittensor,134.40364963520688
saga-2,133.76217461928968
illuminex,133.17248702292568
alephium,133.09557960759983
dither,131.3065177004658
thorchain,130.7775197766341
jupiter-exchange-solana,130.32945642136443
mumu-the-bull-3,126.56727043917236
caprisun-monkey,126.36005624935208
dream-machine-token,125.94138309191341
tron,125.91412111545847
lock-in,125.54995428886403
pocket-network,122.88061172176437
cat-in-a-dogs-world,122.69659956053898
helium,120.4926571662409
natix-network,119.87596757902887
woman-yelling-at-cat,119.11596763803193
ait-protocol,118.79147850157844
maple,117.02604439812963
spectral,116.95570151999948
only1,113.25482346961246
mother-iggy,112.86161834304454
nosana,110.56776349908917
empyreal,106.8606712079386
popcat,106.1062834254836
metaplex,105.4397045932042
synesis-one,104.66991001917161
carbify,102.37127201686867
kerosene,102.08591744988217
smoking-chicken-fish,92.2473936784269
spx6900,91.75813087603031
wrapped-quil,86.95733775244983
autonolas,84.27446549172126
monkeyhaircut,83.32865418734838
minimini,82.28388940996958
elastic-finance-token,79.97240028823323
meta-2,79.58317655085254
michicoin,77.3884358569641
retardio,76.68330474587898
gigachad-2,67.20242465234959
selfiedogcoin,53.37824951257154
ora-protocol,43.53909543571245
