coin,totalCurrentValue
stellar,588.593866610182
drift-protocol,343.3884360835286
cardano,312.7963333947848
base-god,285.99050670290785
mantra-dao,285.3088842207148
ripple,284.5288595360432
kusama,271.3220006972674
dogecoin,265.69473159532225
instadapp,262.3961962223688
pepe,253.02225627164614
iiii-lovvv-youuuu,250.34162950010116
zeus-network,227.24353299504457
wojak,219.3121831609175
billy,214.19802954253012
stader,213.4188650192859
ethena,208.95704808617307
jito-governance-token,202.5476520775669
flow,199.61674981012308
sei-network,194.81932542436743
render-token,189.51054136586413
raydium,189.48721212405172
celestia,189.4404494052062
theta-token,188.96426711324676
near,188.91266492190726
io,186.53061564567815
dymension,185.04917183331276
pixels,183.68900972724006
sui,182.83240779508873
zignaly,182.5090899085694
blur,182.46810468709413
fantom,182.43040068809617
arbitrum,181.818541852063
picasso,180.96849447338806
akash-network,175.64903927417765
liquity,174.53190052531758
chainlink,174.47607668449209
filecoin,174.19604722062004
injective-protocol,173.5450171992145
kamino,173.32943025548946
cartesi,171.63741728919845
dubbz,170.9038576430057
mina-protocol,170.75027244062701
non-playable-coin,167.26637402963115
dither,165.6438929971369
caprisun-monkey,165.0367617310877
dogwifcoin,163.44082685545624
optimism,162.67003901402077
endurance,162.3267433603968
alchemy-pay,161.43320846403222
virtual-protocol,161.1230899863525
uniswap,160.86334407027226
solana,159.94271636383485
theta-fuel,158.79001974356854
kujira,157.57970585245732
automata,157.3582470113652
astar,156.01362865960925
aptos,154.67433270362983
banana-gun,154.64820722133163
self-chain,154.47288938714948
cow-protocol,154.31164489147173
peapods-finance,153.92539360156695
aura-on-sol,153.89545981911954
celo,151.84659422769397
mog-coin,149.37214417452594
layerzero,148.74688212468817
dream-machine-token,147.59011189803158
wazirx,147.2134133338712
paraswap,146.82618693190517
graphlinq-protocol,146.0870489871259
kaspa,145.8568006706354
conflux-token,145.12163745825356
bitcoin,144.48473731192712
lock-in,143.90928279467443
blockstack,142.16456895189174
saga-2,140.77348759570748
echelon-prime,140.28918535623686
ethereum,140.28111475416364
fwog,140.24920297736207
alephium,140.1220207664876
rollbit-coin,138.60437202567317
velodrome-finance,136.2668771842167
pyth-network,135.48212026981176
the-open-network,135.33486277352088
crown-by-third-time-games,134.8897450774542
thorchain,134.59889615696758
vertex-protocol,134.50626876475897
aave,133.29076714480064
jupiter-exchange-solana,130.99159952504436
tron,130.83358009748207
mumu-the-bull-3,129.51652590639875
pocket-network,129.30110417041004
harrypotterobamasonic10in,128.7990781101477
aerodrome-finance,127.99994459702742
clearpool,127.62113875045166
apu-s-club,127.18734614008775
eden,127.11559017302821
bittensor,126.97177113389584
maple,124.7490017244067
cat-in-a-dogs-world,119.92460370573887
ait-protocol,119.00797630885887
popcat,119.00454339497924
empyreal,115.0977496051044
mother-iggy,113.92399510679189
thena,113.80787162818699
vectorchat-ai,111.06273871024639
helium,110.96508330640009
chex-token,110.45277917950408
zero1-labs,110.42052687289603
only1,108.28879219335013
spectral,106.90657121862611
nosana,102.6847884865193
carbify,98.76004776519224
smoking-chicken-fish,98.51991874914957
woman-yelling-at-cat,94.70974395719882
metaplex,93.43153765018073
retardio,92.92948033692382
kerosene,92.85246449813509
monkeyhaircut,89.88551085714654
meta-2,86.74838928903884
autonolas,86.23255164062283
minimini,83.32304804892419
spx6900,79.52356306827406
natix-network,78.96473807137177
synesis-one,73.20792489580901
elastic-finance-token,72.52831866556026
michicoin,69.21415643049806
wrapped-quil,69.16098016011182
gigachad-2,63.515767554099334
selfiedogcoin,58.07693142562411
illuminex,53.21238654094758
ora-protocol,42.20438645166196
