coin,totalCurrentValue
spx6900,407.7450981496371
minimini,227.2760641821695
kerosene,193.07112127865665
aura-on-sol,192.05740296124046
only1,188.210007885971
mother-iggy,185.53342733294542
picasso,175.30542660639762
crown-by-third-time-games,174.05313029213193
drift-protocol,172.90661154818088
chex-token,171.76165861305745
popcat,155.51747498651255
selfiedogcoin,154.5800076626875
graphlinq-protocol,150.9024182150355
synesis-one,149.00347575625278
zeus-network,148.13504011320342
kamino,146.0204211008709
echelon-prime,145.93390961529937
bittensor,145.73276327659218
mog-coin,145.22694683256356
iiii-lovvv-youuuu,142.2186666871606
billy,142.19009046871832
gigachad-2,141.9367730142058
fwog,139.2147756026782
aerodrome-finance,137.84415203197727
wojak,136.9839940014314
retardio,136.75482059925343
clearpool,136.3411545949475
monkeyhaircut,136.15881584281607
dither,135.81229414269606
lock-in,135.07798017818166
liquity,134.94223517061394
ait-protocol,134.58270257620742
apu-s-club,134.46288808749514
smoking-chicken-fish,133.23301221419302
base-god,133.12465043367692
rollbit-coin,132.4835973424276
michicoin,132.42898138194738
sui,129.80854032941485
dubbz,129.69076194762192
cow-protocol,129.27514888729232
fantom,128.6822622140754
caprisun-monkey,128.48146273911635
kusama,128.16607860455537
mantra-dao,127.97606861515101
ora-protocol,127.73820285136622
layerzero,125.51973617133093
kaspa,125.45532025508128
maple,125.4179647637551
the-open-network,124.79933498136093
astar,123.81977727459456
automata,123.79718219196376
non-playable-coin,123.74854534394726
zignaly,123.64271623939295
dymension,123.64241683003716
injective-protocol,123.15257354153046
theta-fuel,122.88608634935905
mumu-the-bull-3,122.67228205164822
alchemy-pay,122.54874279680935
harrypotterobamasonic10in,121.7128944194768
celestia,121.65993999885399
io,121.59102023082072
autonolas,121.58567091791807
illuminex,121.3059730974268
theta-token,120.95795545216691
saga-2,120.64999722121685
pepe,120.47568128289824
blockstack,120.07908753592804
chainlink,119.9421536970359
endurance,119.647308727031
near,119.59865917725641
optimism,119.25509296067587
alephium,118.92816138461855
blur,118.58835316414056
thorchain,118.32328343845664
pyth-network,117.9568269216613
velodrome-finance,117.47551206462738
pixels,117.07798215560393
zero1-labs,117.06703098871054
ripple,116.94247289272221
sei-network,116.84908257024519
dogecoin,116.67899230851252
conflux-token,116.11453739865894
akash-network,115.90193886977241
aave,115.78379218010774
metaplex,115.74731929255337
banana-gun,115.49910574464975
jupiter-exchange-solana,115.26585233602944
empyreal,115.25505773950756
render-token,114.96853198668323
cartesi,114.8344001879999
filecoin,114.79827802083211
cardano,114.43795863732046
cat-in-a-dogs-world,114.29724954976848
wazirx,113.84941990119988
ethena,113.55769118101749
bitcoin,112.58665264319484
stellar,112.29774235641999
uniswap,111.95783901456578
celo,111.91082993783647
flow,111.82098870819141
mina-protocol,111.66690790344347
solana,111.50501312436683
thena,111.44917034493064
instadapp,111.33349119225689
elastic-finance-token,111.205074755379
raydium,110.77962189400029
arbitrum,110.38093684922835
ethereum,110.29549694087906
nosana,110.10163046464206
natix-network,109.62347899687605
dogwifcoin,109.53769043607562
aptos,108.81153199088946
paraswap,108.03745474269078
eden,107.80473725532765
pocket-network,107.73153234676542
virtual-protocol,107.40816342691203
wrapped-quil,107.39454231300333
dream-machine-token,106.68923502334484
jito-governance-token,106.58765286684185
spectral,106.346130430103
peapods-finance,106.21589744303203
vectorchat-ai,104.43331431605147
kujira,101.84999069515878
vertex-protocol,101.40994963899045
meta-2,100.69269513053518
tron,100.11916631603842
stader,100.04092951043856
self-chain,97.41856661827877
woman-yelling-at-cat,93.3541468928064
helium,92.06609808256546
carbify,86.4660233837351
