coin,totalCurrentValue
spx6900,647.8212022346559
iiii-lovvv-youuuu,582.205727181022
vectorchat-ai,472.42786864229134
aura-on-sol,363.7579487108003
only1,277.84080658669933
picasso,273.56921665547185
monkeyhaircut,272.76835855569414
minimini,271.92205635753857
billy,265.37202561501925
zero1-labs,221.92628436814906
mother-iggy,209.61774732423672
selfiedogcoin,209.3299172407317
bittensor,207.68020468883952
crown-by-third-time-games,196.49985166341116
sui,196.15743240379888
graphlinq-protocol,193.70638930750545
kamino,191.90747600651864
popcat,190.32397922351032
saga-2,188.93940616753653
autonolas,182.66005350608845
ait-protocol,181.11334378665546
fantom,177.35959549809448
aerodrome-finance,176.8927980233482
chex-token,175.02766882547542
retardio,172.45110466719177
zeus-network,168.78206132007017
drift-protocol,168.32349660119917
cow-protocol,164.72103721312058
apu-s-club,161.2863975555851
wojak,161.01986027510537
lock-in,160.92913670904005
illuminex,157.81757082981252
mog-coin,157.2119354337629
metaplex,157.0248466998839
michicoin,156.81401961100102
caprisun-monkey,155.5786821784721
wrapped-quil,154.95879171142352
smoking-chicken-fish,154.39776349144316
dubbz,152.70254064154156
ora-protocol,151.29308721737206
gigachad-2,147.76832460257643
base-god,146.00676924898082
dymension,145.62392346521725
sei-network,144.5754582307767
virtual-protocol,144.0840358738096
echelon-prime,142.46984369369926
liquity,142.14971465536172
aptos,141.0819326127357
celestia,140.37080304593619
ethena,140.3152947028481
blur,137.06238240930304
spectral,136.78958635862512
injective-protocol,136.73833746075405
layerzero,136.15648739476907
io,135.30325770207023
dither,135.04686660606606
non-playable-coin,134.61383601535934
kerosene,134.41005897140477
harrypotterobamasonic10in,133.88182933695336
thorchain,132.8832860590435
mantra-dao,132.16141881706395
aave,131.6916498323018
theta-fuel,131.31514082303596
astar,130.93759938569713
theta-token,130.62730789678434
akash-network,130.32555712315522
dream-machine-token,128.98620161284546
blockstack,128.23230798020785
celo,128.1778319665942
optimism,127.4543414575291
endurance,127.20615180817646
maple,127.07060078470613
near,127.06245752074476
elastic-finance-token,126.15721352114139
automata,125.95047826331833
velodrome-finance,125.62712820676994
mumu-the-bull-3,125.47354301721775
pyth-network,125.45969143414727
clearpool,124.21703491681055
peapods-finance,124.13034979469838
arbitrum,124.12707581361343
pepe,123.95010212143929
the-open-network,123.61888331471704
cat-in-a-dogs-world,123.20841151316388
zignaly,122.60462964112627
instadapp,122.41292973732509
kusama,122.21405696770319
render-token,122.09167512013617
self-chain,121.74271088719928
alchemy-pay,121.52151493456249
jupiter-exchange-solana,121.31587628294426
mina-protocol,121.10309833133432
pixels,120.52465542054843
conflux-token,119.69887536382576
bitcoin,119.0495680529152
cartesi,118.79495898303031
synesis-one,118.50246391624215
dogwifcoin,118.16396873888723
chainlink,117.76781801835415
dogecoin,117.19583461047341
ethereum,116.99682164716751
solana,116.53943976973395
filecoin,116.41851597625042
kaspa,116.27541403440762
ripple,115.39173713606182
eden,115.2925479332356
nosana,114.63990503586098
flow,114.31420578440603
paraswap,113.60891842915882
jito-governance-token,112.9552563310763
cardano,112.40587791595844
uniswap,111.29904112290501
wazirx,111.0972857797072
stellar,110.99193495307802
natix-network,110.18815459297116
raydium,109.73187473612141
fwog,107.68582091503619
alephium,105.05650242085562
thena,104.57595946591987
rollbit-coin,104.12863446837125
pocket-network,103.86254934138093
tron,102.97719584562618
stader,102.46616865718184
helium,99.2832874471121
vertex-protocol,99.24713367256601
empyreal,96.1804316147815
banana-gun,95.95782572032687
meta-2,91.91181102275442
woman-yelling-at-cat,87.49957200295576
carbify,82.55589512341672
kujira,81.67857111340474
