coin,totalCurrentValue
kerosene,1293.5806303869556
fwog,631.456209749768
meta-2,431.4001595684837
gigachad-2,240.51361722293564
kamino,236.98459474700763
drift-protocol,215.151808916212
popcat,202.20586238368958
nosana,193.92991642425886
helium,192.80583321986268
maple,179.80205004665052
alephium,173.1382596868986
sui,170.07955249546453
aave,163.89790625968294
ora-protocol,158.47558294381963
bittensor,156.447084485136
fantom,153.9193309560785
echelon-prime,152.43858796333964
dither,152.02492589336416
velodrome-finance,148.84197512461637
thorchain,148.67552158744812
liquity,147.44779974371193
aptos,146.50391100981884
pocket-network,145.60194627880333
saga-2,145.2925783655551
graphlinq-protocol,144.93303957867087
iiii-lovvv-youuuu,143.09418040895957
layerzero,142.68168909391713
blockstack,141.77328182249468
blur,141.15604777802392
vectorchat-ai,140.43867674485992
selfiedogcoin,138.94116309174362
wrapped-quil,138.82478286359884
akash-network,138.05348958603787
render-token,137.93639173788006
spectral,137.8554190080257
rollbit-coin,136.9365243296384
dogwifcoin,136.80185221583122
sei-network,136.54261659642205
automata,136.41503263098744
illuminex,136.36193022872715
chainlink,135.05861607208988
tron,133.48631608264915
theta-fuel,133.27670755801572
banana-gun,132.79584447524198
theta-token,131.5223043961123
wazirx,131.24345337566587
optimism,131.17886229149457
kaspa,130.64773347428059
non-playable-coin,130.4227008529812
astar,130.32622251750692
mina-protocol,129.8248731927278
ripple,129.1392680424654
empyreal,128.79547044956453
kusama,128.45123999329985
minimini,128.41865576736757
cow-protocol,126.85854702865656
eden,126.70463380238846
near,126.58448665444843
pepe,126.28934107346046
uniswap,125.66066281349828
pixels,124.18231637841237
injective-protocol,123.97695893072381
mumu-the-bull-3,123.66939583450569
chex-token,123.42717765641994
conflux-token,123.32465944246876
dogecoin,123.2507143378229
peapods-finance,122.97677488640218
aerodrome-finance,122.73292049434902
celo,122.6289241310191
solana,122.52822690018337
flow,122.3192546053592
stellar,120.33996850104003
mog-coin,120.19856285304309
virtual-protocol,119.9852833675585
metaplex,119.4839342586075
raydium,119.45813004421866
pyth-network,119.41400284169714
cartesi,119.32130552772718
cardano,119.07676138231817
filecoin,118.97313923027805
cat-in-a-dogs-world,118.60897533859709
bitcoin,118.56040606057908
harrypotterobamasonic10in,117.81859795027471
arbitrum,117.0277632081467
instadapp,116.75923011633184
natix-network,116.37396423647401
alchemy-pay,115.80706503876509
mother-iggy,115.53191950856717
ethereum,114.42222038258124
endurance,114.29018588000632
zero1-labs,113.12437486076783
paraswap,111.74900353291329
kujira,111.54901167362105
jupiter-exchange-solana,111.45889717129243
the-open-network,110.44485293042463
wojak,109.3902343887128
jito-governance-token,109.26540594508084
io,108.53645332333419
dream-machine-token,107.08288597167157
autonolas,107.08123350094567
apu-s-club,106.53368510604564
celestia,106.51729118389173
base-god,106.0054128690514
mantra-dao,104.87762172137653
crown-by-third-time-games,103.28219979514301
ethena,101.09102078195036
carbify,101.01797224999454
only1,100.8489438080606
spx6900,100.47408358019419
picasso,99.76275444067987
michicoin,98.55052936797051
ait-protocol,95.85397551432465
vertex-protocol,94.5148225676153
synesis-one,94.40058050942268
thena,88.35179266345371
smoking-chicken-fish,87.75696040872032
dubbz,84.7223981358222
woman-yelling-at-cat,69.4489259383152
billy,66.97286277169572
aura-on-sol,41.943510258023
self-chain,0
