coin,totalCurrentValue
spx6900,305.9716687581401
minimini,261.9760488497763
aura-on-sol,206.85508665605667
only1,205.4916103636916
kerosene,194.78068565892718
crown-by-third-time-games,191.97068252740533
mother-iggy,178.25822942446476
drift-protocol,174.21500973708999
iiii-lovvv-youuuu,168.71695230397987
selfiedogcoin,167.32513403711573
fwog,165.0688240339275
popcat,157.7895706673296
chex-token,157.35340950333244
billy,156.47190094877826
picasso,156.05386845795192
synesis-one,155.06382253885164
mog-coin,153.8529527255558
kamino,152.52518032650178
graphlinq-protocol,149.9102530490438
gigachad-2,149.27400240979006
lock-in,146.10115481085205
retardio,145.5572169913901
apu-s-club,142.68805951350276
aerodrome-finance,142.64129877493477
bittensor,142.05031986889625
michicoin,140.16102246626966
wojak,139.98910736918606
echelon-prime,138.2869534418092
monkeyhaircut,137.90383682406704
clearpool,137.05386416516734
liquity,136.98802509804761
mumu-the-bull-3,136.80301831380388
smoking-chicken-fish,136.63878454210334
rollbit-coin,136.63313952559452
fantom,135.61936133850145
ora-protocol,133.26672073067243
ait-protocol,133.14031846077077
base-god,132.742755462884
dubbz,131.73044505783747
mantra-dao,131.62797766607895
layerzero,129.05361034239013
sui,128.10898341944005
maple,127.6236756581389
io,127.44913302434306
the-open-network,127.20694808599518
zeus-network,126.48093358903014
dymension,126.27394622549073
illuminex,126.03293541026548
cow-protocol,125.69631163050101
dither,125.10319322242546
non-playable-coin,124.98819885155213
harrypotterobamasonic10in,124.8655134748262
injective-protocol,124.85983170800306
caprisun-monkey,124.1981929324284
blockstack,123.51811869879765
zignaly,123.46355448527164
pepe,123.10330809152946
thorchain,122.5704721628529
near,122.50762417926083
alephium,122.48768536853684
velodrome-finance,121.74240052790056
blur,121.68156684628657
chainlink,121.57529519767697
kaspa,121.26833454600227
cat-in-a-dogs-world,121.24607731392865
theta-fuel,121.24033613362667
automata,121.15732843693833
alchemy-pay,120.78013428702849
theta-token,120.73117592229244
autonolas,120.73109831805961
astar,120.56434368468344
kusama,120.15083356034656
endurance,120.09793694550959
sei-network,119.6356914967053
conflux-token,119.5519575517227
empyreal,119.43226033938113
aave,119.38950966568977
pixels,119.24056911772834
pyth-network,119.05791569154118
zero1-labs,118.91566470087234
dogecoin,118.22492987427823
celestia,118.20599300771353
optimism,117.96781354333885
elastic-finance-token,117.79080766859774
akash-network,117.06030165501257
jupiter-exchange-solana,117.00032323514762
filecoin,116.92771696183246
cardano,116.87050498129862
uniswap,116.43563356044888
metaplex,116.1435090742854
wazirx,115.87668669677436
thena,115.28978017027114
banana-gun,115.03012627050083
render-token,114.96932026987422
dogwifcoin,114.42034015643056
cartesi,114.29535312629667
bitcoin,113.72491323995104
saga-2,113.47175779680788
aptos,113.35798758095338
ethena,113.28833765680855
mina-protocol,113.05550729087389
solana,112.93426238736124
spectral,112.83545223183125
flow,112.74387449683174
ripple,112.57129762779114
nosana,112.55162892879237
raydium,112.13251925512122
arbitrum,112.00839240090681
ethereum,111.50134502751997
stellar,111.46435191953451
celo,111.3255367911989
pocket-network,110.84952420227745
virtual-protocol,110.33486479256128
wrapped-quil,109.78955160166069
eden,109.64734519260779
jito-governance-token,109.59026046459172
instadapp,109.29853619669251
paraswap,108.84150968635318
natix-network,107.81476749962994
vectorchat-ai,103.72170583235041
peapods-finance,103.3592092276902
kujira,102.25146211509505
vertex-protocol,102.07737524938189
dream-machine-token,101.47565738040183
tron,101.22765944760245
stader,100.18092436861338
helium,99.20938230154988
self-chain,95.15396507781128
meta-2,94.878316824308
carbify,87.0736787920719
woman-yelling-at-cat,67.52141602214469
