coin,periodStart,periodEnd,lowestPrice,lowestPriceDate
bitcoin,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,49781.9250782462,2024-08-05T13:33:25.329Z
bitcoin,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,53304.61527374619,2024-09-06T21:25:45.348Z
solana,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,110.45524026728847,2024-08-05T13:34:17.018Z
solana,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,123.05684638415836,2024-09-06T21:21:46.733Z
ethereum,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,2197.1532304283473,2024-08-05T13:34:23.888Z
ethereum,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,2192.8759780606156,2024-09-06T21:25:51.518Z
spx6900,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.00959861181490672,2024-08-05T13:38:50.636Z
spx6900,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.007577166556814878,2024-09-06T21:38:15.392Z
woman-yelling-at-cat,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.0011167611804461513,2024-08-05T07:12:04.764Z
woman-yelling-at-cat,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.0008834810738619918,2024-09-06T01:39:07.527Z
fwog,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.011170998965177056,2024-08-05T13:28:40.571Z
fwog,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.05822273552451373,2024-09-06T18:33:02.726Z
gigachad-2,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.007022413147751993,2024-08-05T06:39:50.664Z
gigachad-2,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.012514686723488645,2024-09-06T21:18:21.267Z
minimini,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.006392594016501018,2024-08-05T11:39:15.704Z
minimini,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.007880402314941165,2024-09-06T19:38:33.829Z
lock-in,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.007854154242122132,2024-08-05T06:16:46.085Z
lock-in,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.009189951777955759,2024-09-06T23:40:35.292Z
vectorchat-ai,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.022202453306373878,2024-08-05T13:41:31.762Z
vectorchat-ai,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.030470373522076568,2024-09-06T18:37:17.230Z
base-god,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.00003310726222528212,2024-08-05T13:18:06.085Z
base-god,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.00002626049269318159,2024-09-07T21:37:15.954Z
sui,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.4704898796283688,2024-08-05T13:22:20.119Z
sui,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.8027222864017587,2024-09-06T00:14:25.106Z
popcat,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.2804341946962813,2024-08-05T06:31:16.693Z
popcat,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.4668762120855559,2024-09-06T21:07:42.005Z
kamino,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.019887398107792522,2024-08-05T13:27:58.121Z
kamino,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.03955555717584236,2024-09-06T21:33:51.380Z
zero1-labs,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.1543436195132497,2024-08-05T13:38:00.782Z
zero1-labs,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.1435893728436574,2024-09-06T21:00:18.387Z
bittensor,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,179.42331278334538,2024-08-05T06:23:45.028Z
bittensor,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,225.04871020057837,2024-09-06T21:19:49.671Z
synesis-one,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.01380042709367122,2024-08-05T13:31:17.932Z
synesis-one,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.008067350190624172,2024-09-07T23:12:20.985Z
only1,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.02318665272696726,2024-08-05T06:39:32.501Z
only1,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.018333766600019105,2024-09-06T15:37:56.437Z
selfiedogcoin,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.008933790407344933,2024-08-05T06:08:46.247Z
selfiedogcoin,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.011069700605643735,2024-09-06T21:23:48.821Z
smoking-chicken-fish,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.04160752376123991,2024-08-05T12:05:56.761Z
smoking-chicken-fish,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.02759235451660812,2024-09-06T20:43:40.112Z
retardio,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.05301911237841601,2024-08-05T06:24:05.215Z
retardio,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.03001926769576138,2024-09-06T20:42:53.172Z
meta-2,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,604.2789643308053,2024-08-05T13:25:18.905Z
meta-2,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,2036.9538469494664,2024-09-07T06:11:09.400Z
aerodrome-finance,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.47334998998986916,2024-08-05T13:33:28.470Z
aerodrome-finance,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.49472222904586843,2024-09-06T21:18:17.210Z
mother-iggy,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.031125002335314282,2024-08-05T06:20:35.012Z
mother-iggy,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.03274906259640549,2024-09-07T03:40:30.510Z
michicoin,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.1089568951386134,2024-08-05T06:20:16.793Z
michicoin,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.09214967161208924,2024-09-06T20:43:25.608Z
non-playable-coin,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.012569037968887163,2024-08-05T06:30:49.956Z
non-playable-coin,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.012804150495213096,2024-09-06T21:18:22.963Z
dither,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.03134428573178987,2024-08-05T11:34:49.869Z
dither,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.049124784413039774,2024-09-07T23:10:24.312Z
mog-coin,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,7.866584180712996e-7,2024-08-05T13:13:34.379Z
mog-coin,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,7.062674205308864e-7,2024-09-06T21:11:01.583Z
chex-token,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.0737240109470835,2024-08-05T13:32:23.316Z
chex-token,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.0763063838029747,2024-09-06T21:00:19.901Z
fantom,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.2763919640725052,2024-08-05T12:34:11.594Z
fantom,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.36803164387108483,2024-09-06T21:22:28.278Z
zeus-network,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.14020793893617325,2024-08-05T12:36:24.966Z
zeus-network,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.1727268387090206,2024-09-06T20:42:12.794Z
aptos,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,4.4383666179786045,2024-08-05T13:34:57.542Z
aptos,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,5.568771889308548,2024-09-06T21:07:26.036Z
celo,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.36723333718264345,2024-08-05T13:05:39.048Z
celo,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.39843595234295703,2024-09-06T21:40:58.420Z
metaplex,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.23301364774015926,2024-08-05T13:07:54.655Z
metaplex,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.24462583298424095,2024-09-07T19:36:51.257Z
blur,2024-08-04T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.11133188016079439,2024-08-05T13:00:23.641Z
blur,2024-09-06T00:00:00.000Z,2024-09-08T00:00:00.000Z,0.15253183896744854,2024-09-06T21:06:39.827Z
