coin,totalCurrentValue
spx6900,1780.1961073933894
woman-yelling-at-cat,611.2868435362544
only1,309.6394385504089
base-god,304.40820799995697
synesis-one,297.0821978375024
billy,292.16180536777813
mother-iggy,289.7457690098988
smoking-chicken-fish,268.15479130944004
iiii-lovvv-youuuu,263.79870505738364
vectorchat-ai,255.16691366167075
apu-s-club,250.4957582340298
zero1-labs,241.2188038135175
bittensor,238.79697258608138
monkeyhaircut,229.13699256698942
picasso,223.66828377726688
retardio,222.91577321142012
chex-token,222.4041968633853
sui,219.74999905371317
michicoin,215.18892442375596
aerodrome-finance,213.53077193558795
popcat,209.58633168367427
aura-on-sol,208.53210313279203
non-playable-coin,206.16369067009057
mog-coin,205.47847583738636
illuminex,204.37489483820477
gigachad-2,196.88594901483197
minimini,196.5989409806892
caprisun-monkey,192.0611068368048
crown-by-third-time-games,190.72806746959043
lock-in,190.51224216285394
saga-2,190.15102905771502
graphlinq-protocol,188.9885062914628
ait-protocol,188.56802219208103
fwog,186.27509552623977
ethena,183.29101198035028
fantom,182.20715155251946
harrypotterobamasonic10in,179.6229005301941
virtual-protocol,177.59276154679017
kamino,177.50251212405837
autonolas,176.0095270072945
echelon-prime,174.46771964158143
dither,172.40142822764406
celo,172.14339755598735
sei-network,171.7081884791548
zeus-network,167.53576347510224
selfiedogcoin,166.89828012202938
metaplex,164.85540767756174
spectral,161.55424385846973
dogwifcoin,159.9952936535596
wrapped-quil,153.21028325280133
drift-protocol,150.81685197046212
pepe,150.40400985449344
cow-protocol,149.59937239487212
wojak,147.0664511122529
mantra-dao,144.1472201961769
dream-machine-token,143.99736893978735
velodrome-finance,142.88038491172662
blur,142.2777565085639
layerzero,141.9663248507964
ora-protocol,141.3761990784761
mumu-the-bull-3,141.18052698346438
near,138.1938077159196
thorchain,135.6559633264888
aptos,135.37094732124248
cat-in-a-dogs-world,134.55571366334078
celestia,134.04136564861037
conflux-token,131.67575802792643
mina-protocol,130.80955679021952
injective-protocol,130.15420904439804
render-token,127.63421612419613
blockstack,127.48480554323389
dymension,127.39946659030879
pyth-network,127.35437520479476
optimism,126.72681539121123
thena,126.54490685552396
clearpool,125.25069028378375
astar,125.02983881005515
raydium,122.52665843650114
liquity,121.92396562325175
banana-gun,121.78053238051311
maple,121.76341386893701
theta-token,121.70903668186936
theta-fuel,121.23530994283952
jupiter-exchange-solana,120.87937679383943
akash-network,120.64203912567943
peapods-finance,120.25473076221995
aave,119.85529425611438
dogecoin,118.3469825796247
instadapp,118.24565031898392
alchemy-pay,118.21108889425992
io,118.17039408198589
solana,118.00153207622353
the-open-network,117.9382281040647
ripple,117.2481614014286
chainlink,117.2331542986194
zignaly,117.22989419531498
elastic-finance-token,117.19399587860426
pixels,117.00366416941786
uniswap,115.34490519495016
arbitrum,114.44414364978213
bitcoin,114.32795950869158
cardano,113.80572313315379
natix-network,113.02263093161284
ethereum,111.93761582669545
filecoin,111.60166416948546
automata,111.47542770848077
endurance,111.47213571682066
kusama,111.30533826966631
jito-governance-token,110.96395102320237
paraswap,109.29571340594276
nosana,108.83743847982255
stellar,108.36260778604125
cartesi,107.92739344313019
flow,107.49834144145437
rollbit-coin,106.7256944333465
kaspa,105.30874805219966
eden,105.0078599157493
tron,104.40817807221433
meta-2,102.39296011977599
vertex-protocol,101.64725747380031
wazirx,99.18076984350705
alephium,98.5645341464526
helium,96.76338059706111
pocket-network,93.46047273622816
stader,91.59516264920913
dubbz,90.62588382506026
self-chain,87.43140123535561
carbify,85.83650424945266
empyreal,83.5143614359619
kujira,75.98063113048764
kerosene,61.67798661830254
