coin,totalCurrentValue
spx6900,12158.715481739819
woman-yelling-at-cat,2145.734815720902
virtual-protocol,1418.2874070859225
minimini,784.4354729181422
iiii-lovvv-youuuu,725.1033998755673
lock-in,651.5909857734823
aura-on-sol,609.7634799307547
apu-s-club,553.4692941570657
synesis-one,489.59693332087653
fwog,477.9510600576968
selfiedogcoin,473.3340598236315
retardio,467.3900223409693
empyreal,455.41242612321946
monkeyhaircut,449.58672457640506
harrypotterobamasonic10in,448.12163016320955
gigachad-2,439.48433331363117
zero1-labs,415.06833038801824
chex-token,405.659270721719
base-god,396.82465610650263
popcat,368.57978779168394
michicoin,345.3181868209433
caprisun-monkey,343.74603305729426
autonolas,330.954392289095
ora-protocol,310.975069129873
wojak,290.94509445586596
mog-coin,281.90520941778664
cat-in-a-dogs-world,263.4052460065052
sui,258.95678266803054
aerodrome-finance,257.5283852513349
kamino,253.46737360615717
clearpool,244.36093592859052
elastic-finance-token,240.93228436682205
vectorchat-ai,240.37260369044122
raydium,239.31363286722143
non-playable-coin,236.83235103545385
only1,236.10277646415744
bittensor,229.6158934783616
smoking-chicken-fish,227.61698123064687
mother-iggy,212.4524781804266
billy,207.8009534868857
nosana,203.46077074004202
spectral,200.6631307124763
metaplex,196.15098751101544
fantom,194.78683179025086
ait-protocol,194.49438041051334
ethena,194.2270611765835
dogecoin,194.05443225154116
graphlinq-protocol,186.08915389861778
dogwifcoin,181.26171830990975
aptos,180.29170609207085
thorchain,178.6655294623135
peapods-finance,176.87679728789547
mumu-the-bull-3,174.12183529705655
meta-2,172.72656067595327
illuminex,170.2818062962913
cow-protocol,168.10728671949477
celo,167.08375100274614
maple,166.6038918174682
banana-gun,166.12749571910354
saga-2,165.2295245498466
dither,164.93875597680247
thena,163.34317119253154
mantra-dao,161.7509042382108
pixels,157.97653925468072
dream-machine-token,157.32023860477355
jupiter-exchange-solana,155.84757777879864
sei-network,155.25789578178964
blur,154.53242126206715
pyth-network,152.99756746159122
pepe,149.95890149781582
zeus-network,149.14605104760835
solana,145.28372263100368
crown-by-third-time-games,144.7565990580427
liquity,143.07644854967828
mina-protocol,139.9194506216196
blockstack,138.84992070456022
celestia,137.76992818882377
picasso,137.65728857015947
bitcoin,136.02565572843474
pocket-network,134.52968876175
alchemy-pay,134.3751396458818
uniswap,133.35867619508574
echelon-prime,132.48057004957488
instadapp,132.1632243387308
dymension,131.9603867167756
velodrome-finance,131.53371494640118
optimism,128.97363996139742
jito-governance-token,128.87047911207648
conflux-token,127.85594804869898
injective-protocol,127.4803740104991
near,126.00906542326288
io,125.51087612643504
chainlink,125.14691981644356
aave,124.79985459793717
drift-protocol,123.68074293215709
automata,122.40631563809309
ethereum,120.15360308526807
zignaly,119.41254020204377
layerzero,117.37129620590044
filecoin,116.15575957979745
cardano,115.46117228742607
cartesi,114.2871788727375
arbitrum,113.86147868262013
astar,113.45061637216006
endurance,113.41551398142941
theta-token,113.35924021858067
tron,112.78989833862046
render-token,112.33074211275006
paraswap,111.999562707566
akash-network,111.7611118297837
stellar,111.53455425710601
theta-fuel,110.95192933641842
the-open-network,110.01534241446629
flow,108.3434196729774
kusama,106.52826000587307
kujira,104.51718085429084
ripple,103.54667169036676
wazirx,102.07429958344379
helium,89.82418954708388
alephium,88.87517746724694
dubbz,84.19674826447414
rollbit-coin,84.08941293255232
vertex-protocol,80.7729917726066
natix-network,80.66856314085264
kaspa,79.51533719930772
wrapped-quil,79.18069499574774
stader,77.53900458239396
eden,75.5364459496259
self-chain,69.72156735184141
carbify,47.435266866009336
kerosene,39.88141535655589
