coin,totalCurrentValue
spx6900,7996.6143294652275
woman-yelling-at-cat,4909.205193160528
iiii-lovvv-youuuu,727.319144312568
lock-in,689.6721717895424
minimini,686.7512176509271
apu-s-club,660.7003716969218
base-god,643.4371657354252
synesis-one,593.4272711307214
aura-on-sol,589.0021228065596
monkeyhaircut,541.7759822412113
retardio,503.05028386465386
virtual-protocol,445.3596972856125
harrypotterobamasonic10in,435.16045496083353
caprisun-monkey,415.84790564059625
gigachad-2,408.43787600414896
zero1-labs,402.8701619118775
vectorchat-ai,377.0065495014958
michicoin,351.1621017855748
wojak,318.0247877684609
billy,313.25671072073163
only1,306.8222651754774
fwog,304.48965024628336
smoking-chicken-fish,294.5505632494932
mog-coin,290.20199719928246
popcat,269.9473873689939
aerodrome-finance,265.40588801332206
ora-protocol,261.10154789972194
sui,257.78899207784355
selfiedogcoin,255.06592582834878
bittensor,248.93634631423154
elastic-finance-token,237.72863794412785
kamino,236.66876095624832
non-playable-coin,232.73332188320444
graphlinq-protocol,228.73800524555227
cat-in-a-dogs-world,224.93363306395614
chex-token,224.83673540714796
saga-2,220.40123141555716
ait-protocol,219.9034132598631
celo,215.94844006711446
ethena,206.01020483262963
mother-iggy,205.9694333224489
thena,198.68546491247847
fantom,195.58211686786834
peapods-finance,191.2638378186357
mumu-the-bull-3,190.81441561983198
spectral,189.19006776479222
dogwifcoin,186.1480380207072
dream-machine-token,185.15158856332272
autonolas,182.94474808475505
mantra-dao,175.30075559815802
cow-protocol,174.60449686835562
aptos,174.59743238785077
metaplex,172.03187709645135
sei-network,170.4329659576552
clearpool,168.1741530715551
picasso,166.709982276571
dither,163.48671991943405
pepe,163.13892375735097
crown-by-third-time-games,162.40100272330437
illuminex,162.3329073744799
banana-gun,161.1116104518291
dogecoin,159.31118728410462
blur,158.5959190045274
raydium,157.6679169258101
celestia,154.28513550813187
echelon-prime,151.41120467997382
mina-protocol,147.11496690539656
dymension,146.57499197623122
thorchain,145.861123937412
meta-2,142.0446275284787
velodrome-finance,141.09076590581853
injective-protocol,140.8122062957733
blockstack,140.79836364278316
pyth-network,140.12690722145345
jupiter-exchange-solana,137.86609636352605
near,137.47710407654841
zeus-network,136.04882094860116
conflux-token,133.5277736529185
instadapp,133.1390269677251
pixels,132.2280990777381
aave,130.7365855477915
solana,129.7840591689045
optimism,128.8459813979256
bitcoin,128.3215580158247
io,127.89507098952186
maple,126.19047654435293
layerzero,125.58425317833274
liquity,125.38070082050463
wrapped-quil,124.5752928201447
alchemy-pay,124.02286650268519
empyreal,123.33987465772367
uniswap,123.00027235164126
theta-fuel,122.90346189067832
astar,121.94124207023108
chainlink,121.4194445833545
theta-token,121.40718796647411
zignaly,121.39029170923853
ethereum,120.84057372134662
jito-governance-token,120.60590142070932
automata,118.9527895946188
nosana,118.89369419612594
endurance,118.49993013304517
arbitrum,118.3807828031019
pocket-network,118.28836244740806
filecoin,118.27602797397697
render-token,118.09721788888032
drift-protocol,115.92029784037463
the-open-network,115.70020145267398
akash-network,114.96796319073299
cartesi,114.18345502632296
kujira,114.15845301036109
cardano,113.83954691079688
flow,112.28446937212561
stellar,112.05512573474459
kusama,110.91252364999441
paraswap,110.82516757831081
ripple,106.82019748907089
tron,106.47331475309929
dubbz,105.91830970255548
rollbit-coin,104.60386804808573
wazirx,103.51588217411238
eden,97.47993581956432
kaspa,91.5275288664571
natix-network,86.91052882053533
alephium,82.89860747138853
helium,82.79322679625345
vertex-protocol,82.44839873011917
stader,82.23940655935493
self-chain,76.17695988833137
carbify,55.689832711299125
kerosene,35.34711550217559
