coin,totalCurrentValue
thena,889.0009476010803
empyreal,689.6289568817882
stellar,478.2087588554482
ripple,469.91715726602894
virtual-protocol,459.25908048225483
instadapp,409.2907837938301
mantra-dao,315.14509881927177
drift-protocol,313.8859752606205
cardano,311.8903072687009
base-god,307.790791615295
pepe,294.40375310302153
liquity,283.2210670342192
ethena,276.44560785357555
peapods-finance,269.2386511482124
chex-token,261.7501824942569
clearpool,255.11782587658357
dogecoin,243.65828065912854
io,237.02162586355266
kusama,236.4086569940428
zeus-network,235.90830053270884
stader,235.72865203302692
kujira,234.1475454348816
theta-token,233.7258132314519
uniswap,224.90001804504925
echelon-prime,221.1769606636597
kamino,221.01736910704304
chainlink,215.79849222899853
aave,213.83212560037342
fantom,210.3239472673237
alephium,208.62602902549327
render-token,205.87187520841778
layerzero,204.01929718526668
sui,200.3117714923013
arbitrum,197.7314176936941
jito-governance-token,196.58816402187685
mog-coin,190.90083710457822
flow,190.41369480933778
velodrome-finance,189.98447471443436
filecoin,189.12613537334445
wazirx,189.0458135458078
paraswap,186.9077649517689
rollbit-coin,185.06961134107215
blur,184.85849098027577
picasso,183.1959182863885
natix-network,181.22006547653643
self-chain,178.86216527661398
zignaly,176.693007578887
near,176.39051470169235
aerodrome-finance,175.6259957613082
akash-network,173.78013335128568
tron,168.8039797652932
cow-protocol,168.74211677614556
cartesi,167.05881263119696
alchemy-pay,166.66388806338497
injective-protocol,165.51898152056054
mina-protocol,164.98111634152767
optimism,163.451457821206
sei-network,162.4163015954807
crown-by-third-time-games,160.1377596730264
pixels,159.8339352979276
celestia,158.52679587170013
vectorchat-ai,156.85134148079692
conflux-token,156.05646432232416
automata,155.80240683861467
theta-fuel,155.2073176292539
carbify,155.0560021517817
wojak,154.27647227125595
billy,153.8913163179812
graphlinq-protocol,153.44538913863028
celo,152.5710980060655
raydium,151.59544573151146
endurance,151.5698658299156
ethereum,151.0819088573592
dymension,150.63445748566727
kaspa,150.59577006449342
blockstack,148.93953798919097
dubbz,146.94428886941537
dogwifcoin,146.9441567951663
iiii-lovvv-youuuu,146.39001740454844
aptos,144.43442967426773
helium,144.01252236552062
non-playable-coin,142.59284050589943
bitcoin,142.44679451843547
thorchain,142.11210364703817
vertex-protocol,141.68470119572314
astar,140.22812073548957
bittensor,138.25770330673632
dither,138.14445312844632
eden,137.12777706305158
ait-protocol,137.1015128834575
pocket-network,136.80995215263923
solana,134.96248156892526
dream-machine-token,134.32464474104393
harrypotterobamasonic10in,130.9453718781472
the-open-network,130.68038332317752
mother-iggy,127.67655846350002
pyth-network,127.02958929617895
only1,125.98114265647611
apu-s-club,125.81575539444135
mumu-the-bull-3,123.53328480624548
spectral,123.26796934221285
saga-2,122.16672523146528
jupiter-exchange-solana,121.98832305016595
elastic-finance-token,120.13490016698871
synesis-one,118.97868719746238
nosana,116.56401988573472
maple,113.53321579443912
banana-gun,113.48791995455082
caprisun-monkey,110.8416456814774
gigachad-2,106.88367601017663
zero1-labs,104.2593059666866
spx6900,103.9742591389844
fwog,103.92857919605102
cat-in-a-dogs-world,97.09865971463776
popcat,96.37629397210237
kerosene,95.03452747588847
smoking-chicken-fish,93.16210222507611
aura-on-sol,90.2928160663906
metaplex,89.67931050833512
woman-yelling-at-cat,88.18332632629375
autonolas,86.69389979433862
lock-in,82.67618870593058
retardio,80.67009385313459
wrapped-quil,71.00801396011654
minimini,69.39302245468029
monkeyhaircut,68.19018635702486
illuminex,65.06132873399402
michicoin,61.29646789943327
meta-2,56.760397214089
selfiedogcoin,42.682525158624514
ora-protocol,18.245323055985867
