coin,totalCurrentValue
thena,1328.0801964671218
empyreal,612.259102188576
stellar,541.8894072326472
ripple,518.6128815488394
virtual-protocol,500.47776807408655
instadapp,467.9877563574754
drift-protocol,416.14891782224277
base-god,373.67701874705836
cardano,365.36802256718437
liquity,336.65309862430905
pepe,330.30210396693394
mantra-dao,328.2468585942621
ethena,314.82004652324184
kusama,302.76225755904545
theta-token,299.7976360377486
kujira,288.265406905771
dogecoin,288.00212073751703
stader,281.2551961322839
zeus-network,279.97476581184407
peapods-finance,276.41834644675697
uniswap,274.84400572435874
chainlink,254.56873361616252
chex-token,252.2210147322254
kamino,247.38487470987573
arbitrum,244.4842972154971
flow,244.37411020057428
io,243.9246875085502
render-token,242.14336094458636
fantom,242.00410396735512
echelon-prime,240.7297240565803
filecoin,239.99908282906026
picasso,235.0558764253085
clearpool,231.99853133917622
sui,228.3154519090687
wazirx,227.93539515515332
blur,226.76995352063656
alephium,223.16674200607002
velodrome-finance,221.63747541466245
aave,220.5049738178729
layerzero,219.0581698646195
mog-coin,217.33076675765582
near,215.2844247219998
cartesi,214.46219981918574
akash-network,210.59304868514567
endurance,210.29872101866786
alchemy-pay,210.0352519448902
paraswap,209.61129239624614
self-chain,209.2950801964196
jito-governance-token,208.58441607125508
automata,208.23865692247554
pixels,207.7029302182914
aerodrome-finance,207.5416747585469
cow-protocol,207.3837567151165
mina-protocol,205.9277648128333
crown-by-third-time-games,205.4364778375756
dymension,204.62073210020776
sei-network,204.12852108376245
injective-protocol,203.47637623071864
billy,203.23841901959383
rollbit-coin,202.26378038077445
celestia,200.2543235755763
tron,199.4118165429602
conflux-token,198.31322851515725
optimism,198.2160869932389
theta-fuel,191.78865940334362
dogwifcoin,191.74312592628627
vectorchat-ai,189.54614988424294
celo,188.84678507063862
blockstack,184.99016861541213
zignaly,181.84604753130063
iiii-lovvv-youuuu,181.33554275133
kaspa,180.59719971709524
aptos,180.3189684466705
dubbz,178.5637982672698
wojak,178.34502894983845
astar,178.13778509156188
thorchain,176.93760562706947
natix-network,174.53372815054996
pocket-network,171.75116791471527
ait-protocol,171.67620550627848
bittensor,170.88124266262164
graphlinq-protocol,170.79575449077268
ethereum,166.881789862619
saga-2,165.71758916843774
dream-machine-token,162.92312035752033
dither,161.19319586489846
only1,160.7809002003516
pyth-network,159.31529646674016
eden,158.16275168614487
mumu-the-bull-3,156.53218536487208
helium,156.38822336054736
jupiter-exchange-solana,155.6924302550959
carbify,155.0129531766579
spectral,154.7158234453833
raydium,154.20514943413033
mother-iggy,154.17267563072235
harrypotterobamasonic10in,153.1462680658035
non-playable-coin,152.4333982476187
apu-s-club,152.0941962677835
synesis-one,151.2164267208875
solana,149.87113931926328
the-open-network,149.37840768463852
bitcoin,149.16365805597306
vertex-protocol,148.86672514789998
caprisun-monkey,144.65460422805663
fwog,138.97000151849556
elastic-finance-token,133.6717936553755
banana-gun,130.8891710143332
nosana,129.26511023512873
kerosene,127.48300827010873
maple,126.27953417596211
cat-in-a-dogs-world,125.79627114287446
popcat,124.69038498172226
smoking-chicken-fish,119.60685943150749
aura-on-sol,118.40585938593497
zero1-labs,114.37467820341635
spx6900,109.29354646250903
metaplex,103.55942468555551
woman-yelling-at-cat,103.46699556444847
autonolas,100.87264554904844
gigachad-2,100.75688194094634
lock-in,97.07380760463268
retardio,94.78274655069934
monkeyhaircut,86.65396043507435
wrapped-quil,86.2717422297724
minimini,83.58005779032021
illuminex,82.69828329493893
michicoin,80.96010211289723
meta-2,65.12226894041187
selfiedogcoin,52.051668821363855
ora-protocol,23.444951005330374
