coin,totalCurrentValue
thena,1315.90097172448
empyreal,590.4736853859314
stellar,543.5848568537864
virtual-protocol,530.3444793759674
ripple,481.5790555644368
instadapp,455.0416288620778
drift-protocol,424.12287699493737
cardano,376.37484390669584
base-god,374.7888201331931
ethena,321.06764832501705
kusama,314.89466540241165
mantra-dao,310.828815925424
theta-token,309.21264060840593
zeus-network,291.5654763219973
stader,284.81504690759346
pepe,270.7823543243831
dogecoin,269.21489301267064
liquity,262.26292318054544
uniswap,260.06809836108886
peapods-finance,259.89660662411825
kamino,258.94796641302565
echelon-prime,254.5740797237399
chainlink,251.30664421347618
chex-token,249.95838813564808
kujira,248.16495566218748
arbitrum,247.66785787220311
render-token,247.04389915067514
filecoin,246.6342967170465
flow,242.41810584798446
io,241.52047189025257
blur,239.28750937328763
fantom,237.55568335393227
layerzero,236.44685148419225
clearpool,233.19655276170053
crown-by-third-time-games,232.46827357628067
velodrome-finance,228.15523834587606
sui,227.50210682409588
rollbit-coin,226.34565000489653
wazirx,221.96038299083605
near,220.4799607245608
akash-network,219.81759682903237
aave,219.56474793113338
mina-protocol,219.51088548640908
cartesi,218.345993260189
alchemy-pay,217.978469047413
dymension,214.15238932002882
mog-coin,213.9490696271607
celestia,211.314866472228
paraswap,210.87596472127004
pixels,209.95317424240204
self-chain,209.643754523201
sei-network,208.60491557339788
injective-protocol,208.26482304040388
cow-protocol,204.1550865187491
tron,203.38514837352912
endurance,203.20750662543574
automata,203.17613946971272
graphlinq-protocol,203.1666496997336
aerodrome-finance,199.30560101015934
optimism,197.87110000046823
celo,196.24519392181077
conflux-token,196.21137330840244
dream-machine-token,190.95717005217332
vectorchat-ai,189.93017876575584
theta-fuel,189.8325672447709
jito-governance-token,188.34586939400614
blockstack,187.60349706967105
picasso,185.94129075518174
zignaly,184.55050560928632
billy,183.88239263309416
astar,183.15552310407773
aptos,182.53672433429637
iiii-lovvv-youuuu,181.47823017673363
dither,180.25861514905364
dogwifcoin,179.7103191138959
alephium,179.4646174787704
dubbz,177.2777382604934
synesis-one,174.65357393978007
zero1-labs,173.02473544034584
wojak,172.60621542467823
thorchain,170.7555297465841
ait-protocol,170.48178561669218
bittensor,169.47782897611324
only1,169.18992169741216
saga-2,168.22259999178476
kaspa,167.13230336795496
ethereum,166.8950966758653
non-playable-coin,163.94008483460416
helium,162.73031278889036
pocket-network,162.38783463630722
pyth-network,159.96884233861425
spectral,159.47236566705888
natix-network,158.66932156656927
eden,158.50150319233418
harrypotterobamasonic10in,157.15108246860208
elastic-finance-token,156.022298093071
jupiter-exchange-solana,155.7847480108815
vertex-protocol,155.1002829899637
raydium,153.21604744525513
mother-iggy,149.97204338253732
solana,149.76971634119687
the-open-network,149.75729196889964
bitcoin,147.28859521040323
apu-s-club,140.84575442353386
kerosene,134.33067336291444
fwog,130.27163818284797
mumu-the-bull-3,129.3553542490626
banana-gun,128.2059113866475
nosana,127.44498709174009
carbify,126.0245976101441
maple,121.79291966768923
cat-in-a-dogs-world,118.29846994990751
popcat,118.02695499006467
caprisun-monkey,114.32419889280054
lock-in,113.31633072955167
spx6900,111.344651673375
aura-on-sol,109.40881852537476
smoking-chicken-fish,102.56302876885628
metaplex,101.55552218349551
woman-yelling-at-cat,100.00762376003729
autonolas,98.41199634776348
gigachad-2,94.33060070670521
illuminex,87.55458678097212
minimini,87.01851557309537
retardio,85.8432120487275
wrapped-quil,84.45224387668792
michicoin,78.50871554128527
monkeyhaircut,75.14524356919303
meta-2,67.5973982452345
selfiedogcoin,57.57502134373615
ora-protocol,29.53381767522597
