coin,totalCurrentValue
thena,903.6414194760106
virtual-protocol,718.5987766526088
empyreal,602.1056447101253
instadapp,486.85546511415447
ripple,476.3952286754473
stellar,465.35970926917935
zeus-network,446.3193263954865
ethena,348.0828994181605
velodrome-finance,332.4813925270377
drift-protocol,323.9270278612509
cardano,323.86208937016573
mantra-dao,304.37555890137
carbify,302.81668672674186
peapods-finance,292.82454320016205
kamino,292.6798043938559
pepe,290.9900830546205
liquity,288.73520376767016
clearpool,285.8163627208632
aave,284.44592605835095
chainlink,282.956120375914
io,271.3953358693095
stader,268.46594583520834
theta-token,256.06282487796426
cow-protocol,255.31807533273147
base-god,254.16551919116392
chex-token,251.31912559273832
kusama,248.36501113685054
uniswap,247.27770603510032
dogecoin,245.86342325115712
sui,240.4120129083105
kujira,240.31698222282392
wazirx,232.79304254038325
fantom,222.77401500898463
echelon-prime,218.6375721985741
blur,214.54515663657446
render-token,213.71806237828267
rollbit-coin,213.4781707148217
layerzero,212.16919878673954
alephium,212.13718977820915
self-chain,211.45004867961887
arbitrum,207.23791923689737
paraswap,204.48867236904752
jito-governance-token,197.9217221598835
filecoin,196.04398282508168
flow,195.16743099380977
vectorchat-ai,192.0255828597108
aerodrome-finance,189.39125593724307
natix-network,186.9933118239252
near,182.99435580690547
mina-protocol,181.93890952798742
optimism,180.58546912933312
cartesi,177.4844106453628
alchemy-pay,176.99364569181748
tron,176.49154346914656
akash-network,174.27055163708084
vertex-protocol,173.20678179334226
dymension,172.1055880978098
automata,169.84468415101819
sei-network,169.46484306521864
mog-coin,167.84402756388567
injective-protocol,167.53562131714241
aptos,166.46511624901598
zignaly,165.61743861926604
raydium,165.01862572426788
crown-by-third-time-games,164.8444340658088
helium,163.77350113542693
celestia,163.35885695884397
pixels,162.32247238169876
conflux-token,162.22032264982215
theta-fuel,161.11396035808184
ethereum,161.0899464799637
endurance,157.37437394992145
non-playable-coin,155.21700251703425
picasso,155.00752168411233
spectral,153.03554316231939
blockstack,152.1746756514737
kaspa,149.8349518064903
bitcoin,149.4481396082121
celo,149.3349307294508
astar,147.85778831108627
dream-machine-token,147.62337982589966
dogwifcoin,146.37648135465486
thorchain,145.12404962522947
wojak,144.8616181679722
graphlinq-protocol,141.237558227108
solana,138.89864328468533
the-open-network,137.3338422429209
billy,135.00628369727477
bittensor,134.40641719232585
pyth-network,133.01481519132844
pocket-network,128.3081850337369
dither,127.03808888248658
nosana,126.58377842989142
jupiter-exchange-solana,125.87977459639411
ait-protocol,124.65508410071722
mother-iggy,124.22692778556222
harrypotterobamasonic10in,124.08260317869001
dubbz,123.13368781242148
apu-s-club,120.73981549160425
saga-2,119.97712790969692
elastic-finance-token,119.0690133663429
mumu-the-bull-3,116.83357402366737
synesis-one,112.48041881369898
only1,110.95901168814493
banana-gun,110.51562796258179
autonolas,107.27409249172099
eden,106.66150303739347
gigachad-2,105.74370792489759
zero1-labs,104.49065525205317
kerosene,104.39226166662566
spx6900,102.43502785665817
maple,100.09858975462417
iiii-lovvv-youuuu,99.25088229576347
cat-in-a-dogs-world,99.16359497846926
caprisun-monkey,95.64324531263644
fwog,90.58559803299539
metaplex,89.68818545245318
popcat,89.07207038852944
lock-in,77.32945223123903
wrapped-quil,76.88710641266783
aura-on-sol,74.06268679410424
meta-2,70.30168009064293
smoking-chicken-fish,69.5527520067047
monkeyhaircut,68.97265275273146
minimini,67.11696800695361
retardio,63.32714329549243
illuminex,62.9878076476964
woman-yelling-at-cat,61.193696603493294
michicoin,51.501753513288605
selfiedogcoin,38.804718907935204
ora-protocol,13.69928211401101
