coin,totalCurrentValue
ava-ai,897.8199830816635
duck-ai,407.7089480157687
freysa-ai,346.1191593441541
spectra-finance,287.9485301125151
automata,276.4652213818518
aixbt,234.56671041235145
virtual-protocol,225.46252159553427
gigachad-2,224.44006897367723
spx6900,219.8197867803492
lock-in,191.02953211243144
euler,189.42880033626534
ora-protocol,176.68610440211162
fartcoin,176.12731199388918
iiii-lovvv-youuuu,175.31886742839447
meow,172.9681118237347
minimini,171.21673195054154
bitget-token,169.98166085818758
pudgy-penguins,160.36152154415646
grass,160.3120951442711
echelon-prime,156.57210906122617
dither,154.6799808358354
cow-protocol,153.96240328907203
thena,150.40571424774822
livepeer,150.4003601317782
drift-protocol,148.9781942862202
puffer-finance,148.9458705816794
fwog,148.61002312146718
zeus-network,147.64906131388793
morphware,146.25608899363894
retardio,143.25528736001928
raydium,142.79066763656206
pepe,140.6136361369993
empyreal,139.13706142361687
stellar,137.75117358126965
theta-token,136.90157894842096
stader,136.67231258886716
kusama,135.0490619472801
michicoin,135.0326067979546
popcat,133.12576257736345
io,131.24096044860607
metaplex,130.89226235459643
caprisun-monkey,130.78818377795054
liquity,130.3838337038865
alchemy-pay,130.02126046735026
bittensor,129.90083441572762
selfiedogcoin,129.74920491618178
wojak,128.3377866909479
cat-in-a-dogs-world,127.48297612068015
uniswap,127.0588405650863
dogecoin,126.82441126544146
dinero-2,126.77891511100124
base-god,126.37640763297946
cardano,124.94204863771165
render-token,124.30061628505047
sui,123.82732905025476
nosana,123.4673622158795
jupiter-exchange-solana,123.23014763185972
mumu-the-bull-3,122.99478375505217
akash-network,122.51794242987091
aave,122.15964842598113
ripple,121.52551967208983
across-protocol,121.2868533302376
ethena,120.90623045704655
cartesi,120.8209465442909
vectorchat-ai,120.7662278876286
filecoin,120.00737108588785
endurance,119.85690103133537
near,119.41637251155585
spectral,119.19730611406638
pixels,118.40637622304446
celo,118.31414018810072
flow,118.28448088319863
tron,117.8084089995646
solana,117.6800628297932
smoking-chicken-fish,117.66462106451273
billy,117.64696601533772
conflux-token,117.59438208317904
the-open-network,117.25970898790511
jito-governance-token,117.1979719563344
astar,116.64027968485237
injective-protocol,116.27067060010656
dogwifcoin,116.15097612648218
self-chain,116.07862124429205
celestia,115.43103297667179
theta-fuel,115.161200829597
optimism,115.04330868971115
arbitrum,115.01334148867755
aerodrome-finance,114.90061642856875
pyth-network,114.5133095191265
sei-network,114.50718466537712
saga-2,113.90135117455101
mina-protocol,113.8846845118672
clearpool,113.53174452655689
simon-s-cat,113.23582496567685
mantra-dao,113.15953679369763
peapods-finance,112.95538604409592
harrypotterobamasonic10in,112.44172184338163
inverse-finance,112.03453154741017
zignaly,112.03121343566794
dymension,111.59657328990227
dubbz,111.58306183436744
ethereum,110.80887187350842
layerzero,110.73266709221234
kaspa,110.70077928970109
banana-gun,110.4795434463891
chainlink,109.63829317679286
blur,109.5773791441274
non-playable-coin,109.34291209884549
build-on-bnb,108.95002226931543
vertex-protocol,108.7203444227169
chasm-ai,108.3898821154166
apu-s-club,108.34445971772631
zero1-labs,108.14887692479401
paraswap,107.1473391881737
mog-coin,107.09140458459667
monkeyhaircut,106.29541945700917
aura-on-sol,106.24940019566236
kujira,106.23098107399923
graphlinq-protocol,106.11713056157518
thorchain,105.87135668018138
autonolas,105.86511023677419
eden,105.649322275175
blockstack,105.06807483433484
velodrome-finance,105.05307733459047
pocket-network,104.71247651310566
ait-protocol,104.63576481869292
bitcoin,104.40936124602169
elastic-finance-token,103.34965960281674
helium,101.95627535353792
hyperliquid,101.91247463917213
kamino,100.30395231360978
hilo-2,99.76681280993193
only1,99.23391682657876
maple,99.2258668880804
rollbit-coin,97.24548775517945
synesis-one,97.21948531217672
crown-by-third-time-games,96.89021397840212
wrapped-quil,96.81409895804198
dream-machine-token,94.25934219603245
meta-2,93.92466242018352
chex-token,92.9692685230908
aptos,92.6949154018643
contango,91.48956333411658
alephium,90.9813708844569
illuminex,90.77732100792083
carbify,90.35959332104386
fantom,90.32702436169377
natix-network,87.01845634095595
mother-iggy,86.15230917827589
xnet-mobile-2,85.76308073868455
picasso,84.05913145182066
instadapp,83.4653806173687
woman-yelling-at-cat,81.0381627965137
dog-with-apple-in-mouth,68.52812840327861
kerosene,61.92988110018456
wazirx,32.41995580496266
swarms,0
