coin,totalCurrentValue
ava-ai,1102.6117371059495
meow,510.2236633290328
freysa-ai,352.89534963693944
aixbt,298.28135153829146
send-2,287.87381485652475
henlo-2,252.1559049794406
duck-ai,246.91614256683042
spx6900,222.27367097065425
sekoia-by-virtuals,212.40522853647948
bitget-token,204.18292048817835
raydium,199.76638754388247
base-god,196.13043342321492
dinero-2,178.82524581317497
fartcoin,175.4484043012599
vectorchat-ai,175.4476195036684
gigachad-2,168.01413623780581
spectra-finance,167.94426613279518
euler,163.09819975306482
ripple,157.1755723834132
solana,145.01201281911895
litecoin,142.19751781053944
minimini,133.17319817562353
stellar,132.52497415469313
dogecoin,132.36756483613212
automata,130.18235307095645
jupiter-exchange-solana,129.44929291234078
cardano,126.91746624467446
iiii-lovvv-youuuu,126.43313312078483
chainlink,123.88003896747215
virtual-protocol,121.5968714168443
aave,119.7127966358231
lock-in,119.30270005649896
kaspa,118.88622685172868
metaplex,118.3145911847467
sui,117.67053683838837
mantra-dao,117.4349130319792
io,116.6728316358237
inverse-finance,114.39013054422477
banana-gun,114.14304968109276
theta-token,113.7299987294918
render-token,113.36592149910702
bitcoin,112.8784737634957
filecoin,112.69690349309818
tron,112.58712592448713
theta-fuel,111.82624327856978
drift-protocol,111.62938451783441
injective-protocol,110.76206591020056
echelon-prime,110.46776737519674
livepeer,108.99676150672195
flow,108.83546707100612
near,108.30448364194615
kusama,108.24345462352312
puffer-finance,108.1328971879146
liquity,107.35433018204046
jito-governance-token,107.28830942696924
uniswap,107.06908355808815
tars-protocol,106.67118313556898
fetch-ai,106.62271342338282
ethereum,106.52358153817235
openserv,106.1885856550902
conflux-token,106.06039464902864
the-open-network,105.56605328768521
arbitrum,104.02621030430483
celestia,103.69290349833678
pepe,103.42833922393845
zignaly,103.31159837343131
cow-protocol,103.0734778461648
stader,102.81751729450176
hyperliquid,102.0983882426662
bittensor,101.68454244610223
grass,100.71328959486952
ethena,100.16627448854261
optimism,100.09429771257936
celo,100.05151263451579
cartesi,100.02652472409417
astar,99.99361810848082
pudgy-penguins,99.36052038694056
peapods-finance,99.26568192732853
zeus-network,98.13622365748381
akash-network,98.05840170485928
alchemy-pay,97.89226560439782
paraswap,97.78682624295166
pyth-network,97.3521134464884
nosana,95.95212973410659
woo-network,94.91747424157359
chex-token,94.87077369658708
illuminex,93.68503395956648
retardio,92.46992669371507
harrypotterobamasonic10in,92.09792274776774
sei-network,91.7854297346769
cat-in-a-dogs-world,91.62566680749376
non-playable-coin,91.57387648340239
dubbz,91.5176999114951
saga-2,90.99088901302885
vertex-protocol,90.64013848366727
mina-protocol,90.23544986175516
ora-protocol,88.8306706907735
wojak,88.75933431702438
blockstack,88.18312233399173
maple,87.58894046730806
hilo-2,87.21174096950124
self-chain,86.7365554865816
endurance,86.34268457722962
across-protocol,86.2112516436474
meta-2,86.00854275092487
clearpool,85.29623320032071
dither,84.70414343794984
dymension,84.14281476014983
blur,83.49270129249136
vanar-chain,81.64445907210815
caprisun-monkey,81.62840467601963
aptos,80.96282128085966
only1,80.93528348921481
pixels,80.60485961014898
pocket-network,79.84276398684233
aura-on-sol,79.79462472814109
layerzero,79.76646025936988
graphlinq-protocol,79.50891180801578
elastic-finance-token,78.35207561782833
empyreal,78.03094791363634
contango,77.69305781670705
aerodrome-finance,76.57309037683083
instadapp,76.11921109302968
michicoin,75.56787844029998
apu-s-club,75.27596494410903
dogwifcoin,73.42785008913422
kamino,73.24362005506198
thena,71.66787880913584
mog-coin,71.48791180619374
rollbit-coin,71.13240826408747
kujira,68.94378484215841
media-licensing-token,68.58026736258739
synesis-one,68.31290657816794
eden,66.92041526969639
fwog,66.02192940914324
morphware,65.76675864538653
velodrome-finance,65.31670013679016
ait-protocol,65.02344865762949
picasso,64.41625435480945
popcat,64.32623611831602
helium,64.26563942638961
fantom,62.619568741563434
spectral,61.98197820582294
monkeyhaircut,61.816397724274665
crown-by-third-time-games,60.76111376407239
thorchain,60.10242637479509
xnet-mobile-2,59.16371986089342
simon-s-cat,58.680319970509416
woman-yelling-at-cat,57.9296292367357
selfiedogcoin,57.52414452956582
alephium,57.44946587003476
heurist,55.25150905044692
dream-machine-token,52.57169395861739
wrapped-quil,50.38149242841569
autonolas,50.09224762540286
natix-network,49.01153244620546
smoking-chicken-fish,48.308952697587294
kerosene,48.282596830479015
chasm-ai,48.03281713849387
carbify,45.5660370976821
mumu-the-bull-3,43.761847836671
zero1-labs,43.57660343685166
billy,40.6625871395931
mother-iggy,39.68978252556294
wazirx,38.08904277983589
dog-with-apple-in-mouth,34.94415234422901
build-on-bnb,24.86850524800778
swarms,0
alphaarc,0
yne,0
neur-sh,0
buttholes,0
acolyte-by-virtuals,0
loomlay,0
