coin,totalCurrentValue
gigachad-2,282.9404874278108
kamino,240.27168739184378
iiii-lovvv-youuuu,210.47310920647007
sui,203.09776701002895
helium,201.01482828467195
popcat,197.8417764867632
saga-2,189.41337815264538
mumu-the-bull-3,187.29064725597036
non-playable-coin,179.9811411183632
mog-coin,175.23238701011286
spx6900,175.18575402009782
kerosene,174.93120626316212
graphlinq-protocol,171.72534421696255
clearpool,166.5560212689627
fwog,163.06748724245634
dither,162.26743130490337
picasso,160.4363403781064
base-god,159.5177151394453
bittensor,158.84338603748378
dymension,158.6671928763674
drift-protocol,155.25041420299752
dogwifcoin,153.23162357263288
aptos,153.09380573102206
ora-protocol,150.1897237183405
akash-network,149.67768471229743
celestia,146.67138926353053
maple,146.57063509339156
blur,145.81619809509962
raydium,144.3903901231856
wrapped-quil,143.91058523363523
vectorchat-ai,143.67252401889502
nosana,143.6397018113682
harrypotterobamasonic10in,143.47322003476
ethena,143.32187319025317
banana-gun,142.383593052464
blockstack,142.04560268258462
zeus-network,141.5294677083595
sei-network,140.7195567938832
mother-iggy,140.66072053566137
aerodrome-finance,140.1378718795458
dream-machine-token,139.68404058480235
thorchain,139.68010926966733
chex-token,139.35108439445492
selfiedogcoin,138.75716064282585
monkeyhaircut,138.58019041703926
injective-protocol,138.55160930332897
lock-in,137.07407181166383
wazirx,136.5724609398577
pepe,135.9458692502208
theta-fuel,135.6432099032262
near,135.46657861959324
fantom,134.8558285053774
pixels,134.75995088516905
kaspa,134.7160797961683
cat-in-a-dogs-world,134.50350696208528
uniswap,134.12427159630093
cow-protocol,133.97703900266862
render-token,133.71562254666006
apu-s-club,133.60713102673077
solana,133.07250335501578
mina-protocol,132.86522820426237
theta-token,132.4343151408629
arbitrum,131.88937941626963
the-open-network,131.53018931882522
ripple,131.52886228052378
synesis-one,130.73714770060815
pyth-network,130.61380431853695
echelon-prime,130.60018686693851
celo,130.3436246447148
eden,130.10027201097705
chainlink,129.73425565717793
alephium,129.72673622089465
dogecoin,129.54099944239735
stellar,129.10884812703924
liquity,129.07784000010713
conflux-token,129.04347191640667
stader,128.80811846793435
endurance,128.74379830050623
ait-protocol,128.24863282585514
alchemy-pay,128.1820080442459
woman-yelling-at-cat,127.52977368672359
zignaly,127.43318359491988
astar,127.07783349136696
crown-by-third-time-games,126.8987476752502
velodrome-finance,126.82014611291038
automata,126.63152378349658
optimism,126.39624024413637
kusama,125.99853702432291
minimini,125.64001717626793
layerzero,125.0406282788468
instadapp,124.83789490846658
jito-governance-token,124.60406878690574
rollbit-coin,124.3838005621115
peapods-finance,124.07441158859403
flow,123.99556786771021
spectral,123.87145952371833
cartesi,123.7108391458542
aave,123.28987629104076
filecoin,123.26326948550526
kujira,123.22331658855602
ethereum,123.07320917249105
jupiter-exchange-solana,122.8086563253706
meta-2,122.44348757011194
elastic-finance-token,122.26292095666169
wojak,121.92941510733495
empyreal,121.8607658687415
bitcoin,121.75326235061101
paraswap,121.02493157863415
io,120.79362334155552
illuminex,120.58092539056241
zero1-labs,120.27648426821732
pocket-network,119.31778577731485
billy,119.01796001712827
michicoin,118.99477249107832
cardano,117.60495552983883
retardio,117.51918330046269
aura-on-sol,117.16134451353659
only1,116.75582600653959
natix-network,115.7954431901928
thena,113.007701002206
mantra-dao,112.7545928547263
virtual-protocol,111.67845603416686
carbify,110.3255174408032
dubbz,109.42565133837343
tron,109.0972289602686
autonolas,106.55574614853718
caprisun-monkey,104.57990285582544
vertex-protocol,103.19597505523014
metaplex,101.79604051142427
smoking-chicken-fish,91.19059435827438
